物品,成交量,最低價,中位價,最高價,價格變化,日期
手套攻擊卷軸60%卷軸,743,1450000,1600000,1650000,-0.37%,2025-06-02
拳套攻擊卷軸60%卷軸,679,360000,450000,540000,-0.50%,2025-06-02
盾牌幸運卷軸60%卷軸,669,1250000,1400000,1500000,-3.80%,2025-06-02
短杖魔力卷軸60%卷軸,635,160000,250000,300000,+3.59%,2025-06-02
短劍攻擊卷軸60%卷軸,564,490000,600000,650000,+3.97%,2025-06-02
手槍攻擊力卷軸60%卷軸,533,175000,230000,275000,+4.22%,2025-06-02
披風敏捷性卷軸60%卷軸,521,1400000,1600000,1800000,+2.03%,2025-06-02
頭盔敏捷性卷軸100%卷軸,507,380000,400000,456000,+1.07%,2025-06-02
耳飾幸運卷軸10%卷軸,497,175000,230000,270000,-5.13%,2025-06-02
長杖魔力卷軸60%卷軸,478,210000,300000,380000,+0.48%,2025-06-02
耳環智力卷軸60%卷軸,469,740000,900000,1000000,+1.22%,2025-06-02
槍命中卷軸60%卷軸,465,80000,120000,170000,-1.84%,2025-06-02
披風智力卷軸60%卷軸,460,450000,550000,650000,-2.55%,2025-06-02
披風幸運卷軸60%卷軸,457,1050000,1200000,1320000,-0.05%,2025-06-02
鞋子跳躍卷軸10%卷軸,419,179998,200000,260000,+2.67%,2025-06-02
雙手劍命中卷軸60%卷軸,417,30000,70000,110000,+6.04%,2025-06-02
頭盔智力卷軸100%卷軸,399,210000,270000,330000,-9.63%,2025-06-02
套服敏捷卷軸60%卷軸,383,680000,850000,970000,+4.87%,2025-06-02
披風力量卷軸60%卷軸,351,650000,900000,1000000,+10.92%,2025-06-02
鞋子跳躍卷軸60%卷軸,351,550000,650000,750000,+3.39%,2025-06-02
拳套攻擊卷軸10%卷軸,348,350000,450000,550000,+10.02%,2025-06-02
槍攻擊卷軸60%卷軸,325,75000,100000,135000,+5.12%,2025-06-02
頭盔體力卷軸60%卷軸,321,250000,370000,450000,+5.12%,2025-06-02
弓攻擊卷軸60%卷軸,318,190000,200000,240000,+2.02%,2025-06-02
手套敏捷性卷軸60%卷軸,302,60000,100000,140000,+17.05%,2025-06-02
弩攻擊卷軸60%卷軸,301,34999,45000,55000,-3.53%,2025-06-02
披風體力卷軸60%卷軸,285,100000,200000,300000,+8.24%,2025-06-02
手套攻擊卷軸100%卷軸,267,430000,500000,520000,-0.70%,2025-06-02
套服敏捷卷軸10%卷軸,261,225000,299998,320000,+3.12%,2025-06-02
上衣幸運卷軸100%卷軸,237,360000,400000,480000,-2.70%,2025-06-02
指虎攻擊卷軸60%卷軸,231,10000,30000,50000,-4.73%,2025-06-02
鞋子速度卷軸60%卷軸,227,20000,40000,60000,+2.85%,2025-06-02
短劍攻擊卷軸10%卷軸,217,150000,260000,350000,+15.07%,2025-06-02
耳飾幸運卷軸100%卷軸,217,510000,600000,630000,-4.00%,2025-06-02
上衣力量卷軸100%卷軸,201,175000,220000,270000,-9.72%,2025-06-02
單手劍攻擊卷軸60%卷軸,194,33333,50000,80000,-4.89%,2025-06-02
食人花的花蜜其他,191,650000,830000,1000000,+4.27%,2025-06-02
盾牌幸運卷軸100%卷軸,188,425000,500000,520000,-4.35%,2025-06-02
神秘背包商城道具,185,650000,800000,850000,+2.69%,2025-06-02
手套攻擊卷軸10%卷軸,182,660000,750000,800000,+3.54%,2025-06-02
手套敏捷性卷軸10%卷軸,182,28000,40000,50000,-3.52%,2025-06-02
披風敏捷性卷軸100%卷軸,181,170000,300000,338000,+0.18%,2025-06-02
飄雪結晶商城道具,180,53000,58999,61000,+2.76%,2025-06-02
上衣體力卷軸10%卷軸,174,15000,40000,60000,+8.90%,2025-06-02
枯木樹液消耗品,174,23000,29000,32000,+0.94%,2025-06-02
披風幸運卷軸10%卷軸,169,170000,200000,210000,+0.94%,2025-06-02
耳飾體力卷軸60%卷軸,169,125000,180000,220000,-8.96%,2025-06-02
鞋子敏捷性卷軸60%卷軸,154,45000,50000,65000,+5.09%,2025-06-02
弓攻擊卷軸10%卷軸,152,130000,200000,230000,+4.79%,2025-06-02
雙手劍攻擊卷軸60%卷軸,152,35000,50000,60000,-7.31%,2025-06-02
套服幸運卷軸60%卷軸,150,3200000,3500000,4010000,-4.50%,2025-06-02
頭盔體力卷軸10%卷軸,138,20000,40000,60000,+20.98%,2025-06-02
盾牌力量卷軸60%卷軸,135,70000,130000,180000,+9.69%,2025-06-02
套服智力卷軸60%卷軸,128,4444444,5000000,6000000,-1.02%,2025-06-02
